Open,Close,VWAP,Volume,MACD,DPO,HULL-16,MFM,Lable
132.5,134.6,134.05,2452988,3.235678301,-3.05,123.1217927,12.07839227,1
135.5,136.05,136.49,4024574,3.753763768,-2.7275,125.5159206,10.38080245,1
137.9,134.5,135.84,4074096,4.308284363,-0.3825,128.7287566,8.147014441,-1
135.45,133.05,133.99,2416667,4.498345101,-1.9575,132.1876813,32.2330057,-1
132.1,129,130.86,2372630,4.328921369,-2.6825,135.041013,-24.46979122,-1
128.35,127,127.94,2166962,3.847871729,-5.6425,136.7701507,-19.16033263,-1
127.9,127,128.94,2580982,3.391245445,-7.0075,136.7396003,-13.75452645,-1
128,126.8,127.18,1291247,3.002808769,-5.585,135.192813,-7.346802093,-1
127.5,127.95,128.47,2550854,2.624387205,-3.8225,132.9392992,-6.747537226,1
128.8,132.55,130.67,3683347,2.401637667,2.5525,130.6305394,-3.840891186,1
133.45,131.5,132.2,2411151,2.570493637,4.1325,128.8406138,-6.592179452,-1
130,124.65,127.45,3965384,2.398444523,6.205,128.4595977,-3.930706988,-1
125.85,127.7,125.95,3337740,1.905437764,7.76,128.8665314,-2.673582092,1
128.1,127.3,128.01,2541044,1.676841956,6.105,128.4660072,-4.390416686,-1
128,129.5,129.07,2337658,1.470656593,4.5425,128.0386024,-4.513714063,1
130.8,130.75,131.59,2753657,1.515596163,0.1175,127.6659762,-8.16364836,-1
132.5,132.15,132.02,3127371,1.669082682,-2.3925,127.8988176,-7.912536883,-1
131.05,130.5,130.83,1949395,1.654720109,-2.9,128.5418288,-33.03293691,-1
130.05,128.25,128.38,1574203,1.544886202,-3.44,129.5660939,-25.48715916,-1
128,135.3,132.81,3756900,1.277783132,-2.1975,130.4110404,-25.19698501,1
136,137.35,138.27,6658750,1.691785547,2.245,130.7032372,-78.01498939,1
136.1,136.85,136.22,4456405,2.00486577,1.0575,131.8169882,-131.0507153,1
136.1,142.6,141.27,6182384,2.22733164,-5.8325,133.6871632,8.741947954,1
143.4,149.05,148.16,8533067,2.958293849,-3.1875,135.6428706,5.43646837,1
149.65,152.65,151.22,7339863,3.995630513,-4.3875,138.2009261,3.412554163,1
153.6,151.8,151.51,4512674,5.077821988,-3.37,141.9823859,2.935890485,-1
152.2,158.65,156.71,8145011,5.756274405,-3.36,146.7467955,2.577797766,1
159.85,162.85,162.82,6606430,6.832215995,-3.5425,151.1646991,2.220179521,1
162.9,157.8,159.56,4093420,7.840583992,-6.995,155.7028206,2.18826076,-1
158,158.3,158.27,4810829,8.150665801,-10.7375,160.3680637,2.586993572,1
158,158.65,157.97,4426165,8.300769602,-4.975,163.6103294,3.12257873,1
159.9,158.55,159.51,3366957,8.475304142,-4.2825,165.3086828,2.737411366,-1
158.5,153.5,155.95,2925574,8.403883412,-6.4775,165.7374765,3.017072724,-1
154.45,155.25,155.89,2948027,7.929280446,-2.0175,165.4144425,4.709809368,1
155.7,156.8,157.4,3886086,7.566751005,3.035,163.7183145,7.439660865,1
